City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
348,dudinka,69.4058,86.1778,16.21,84,79,3.0,RU,1722042955
349,kimbe,-5.5502,150.1429,26.96,81,100,2.43,PG,1722042956
350,tamanrasset,22.785,5.5228,24.95,19,0,1.03,DZ,1722042957
351,al ghayzah,16.2079,52.176,25.4,89,67,3.88,YE,1722042959
352,utrik,11.2278,169.8474,28.01,81,66,9.41,MH,1722042960
353,bikenibeu village,1.3673,173.1241,30.98,66,40,5.14,KI,1722042961
354,tallulah,32.4085,-91.1868,24.0,94,20,1.54,US,1722042962
355,severo-yeniseyskiy,60.3725,93.0408,22.61,60,0,0.85,RU,1722042963
356,ulsteinvik,62.3432,5.8487,13.88,91,100,1.34,NO,1722042965
357,puerto lempira,15.2667,-83.7667,26.17,90,14,3.57,HN,1722042966
358,maun,-19.9833,23.4167,15.56,16,0,0.6,BW,1722042967
359,tarawa,1.419,172.984,31.05,66,40,5.14,KI,1722042968
360,khanty-mansiysk,61.0042,69.0019,15.06,100,75,5.0,RU,1722042970
361,meget,52.415,104.0494,19.42,82,35,1.32,RU,1722042971
362,kachug,53.9606,105.8817,22.57,76,91,0.55,RU,1722042972
